num,question,answer,filename
1,"依《傷寒論》，若太陽病，表證仍在，但見脈微而沉，其人發狂，少腹鞕滿，小便自利者，治以下
列何方最適宜？
(A)桃核承氣湯 (B)少腹逐瘀湯 (C)抵當湯 (D)奔豚湯",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
2,"一位傷寒表實證患者，不大便已一星期，濁熱上擾，頭痛高熱，小便赤，下列治法何者正確？
(A)與承氣湯先下，後表證仍在者，以麻黃湯發其汗
(B)宜麻黃湯先發其汗，後與承氣湯下之
(C)與承氣湯先下，後表證仍在者，以桂枝湯發其汗
(D)先白虎湯解陽明外證，後與承氣湯下之",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
3,"依《傷寒論》，有關小陷胸湯證之敘述，下列何者正確？①按之痛 ②正在心下 ③脈浮滑
(A)僅①② (B)僅②③ (C)僅①③ (D)①②③",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
4,"依《傷寒論》，傷寒，胸中有熱，胃中有邪氣，腹中痛，欲嘔吐者，治以下列何者最適宜？
(A)生薑、炙甘草、人參、乾薑、黃芩、半夏、黃連、大棗
(B)乾薑、炙甘草、黃連、桂枝、人參、半夏、大棗
(C)半夏、黃芩、乾薑、人參、炙甘草、黃連、大棗
(D)旋覆花、人參、生薑、代赭石、炙甘草、半夏、大棗",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
5,"水氣內停而太陽經氣不利的證治，下列何者正確？
(A)茯苓甘草湯證 (B)五苓散證
(C)桂枝去桂加茯苓白朮湯證 (D)小青龍湯證",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
6,"某君患太陽病，醫者發汗太過，致表邪不解，膀胱氣化不行，證見脈浮，微熱，口渴多飲，小便不
利，下列治法何者正確？
(A)養陰解表，通陽利水 (B)益氣生津，解表利水
(C)解肌發汗，滋陰利水 (D)化氣利水，兼以解表",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
7,"李先生患成年型糖尿病多年，口渴多飲，飲不解渴，血清空腹血糖 = 180 mg/dL，小便檢查：尿糖(++)，
納食尚可，大便正常，小便黃赤，多尿，脈大而軟，舌紅少苔，下列辨證診斷何項正確？
(A)胃熱壅盛，津液兩傷 (B)胃熱壅盛，氣陰兩傷
(C)肝腎陰虛，虛火上炎 (D)心腎陰虛，水火不濟",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
8,"李先生患成年型糖尿病多年，口渴多飲，飲不解渴，血清空腹血糖 = 180 mg/dL，小便檢查：尿糖(++)，
納食尚可，大便正常，小便黃赤，多尿，脈大而軟，舌紅少苔，下列何項處方最適宜？
(A)竹葉石膏湯 (B)玉女煎 (C)白虎加人參湯 (D)六味地黃湯",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
9,"關於「少陽傷寒禁汗」之敘述，下列何者正確？①傷寒脈弦細而頭痛發熱，當用和解法 ②少陽發
汗易生譫語變證 ③少陽誤汗則胃中乾燥，津傷熱盛 ④少陽誤汗出現「心煩而悸」變證，其病機
為誤汗，心陽受損所致
(A)僅①②③ (B)僅①③④ (C)僅②③④ (D)①②③④
代號：4106
頁次：8－2",A,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
10,"陽明病有外證有內證，下列何症狀是由太陽中風傳入陽明之外證？①不大便 ②不惡寒 ③身熱
④汗自出
(A)僅①② (B)僅①③ (C)僅②③④ (D)①②③④",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
11,"有關「柴胡桂枝湯證」之敘述，下列何者正確？①心下支結是柴胡證 ②發熱，微惡寒，支節煩疼
是太陽桂枝證 ③本方取小柴胡湯、桂枝湯各用半量 ④方藥煮取三升，去滓，溫服一升
(A)僅①② (B)僅①②③ (C)僅①②④ (D)①②③④",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
12,"關於「太陰之為病，腹滿而吐，食不下……必胸下結鞕」之敘述，下列何者正確？①文中所謂「胸
下結鞕」是因誤下而致 ②說明本病之主證為「太陰虛寒證」 ③「胸下結鞕」之病機為「下後清
陽不升、脾氣下陷」 ④「腹滿時痛」之病機為「寒濕停滯，胃腸氣機不暢」
(A)僅①②③ (B)僅①②④ (C)僅①③④ (D)①②③④",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
13,"有關少陽小柴胡湯或然證用藥，下列何者正確？①若心下悸，小便不利，去黃芩加澤瀉 ②若不渴，
外有微熱，去人參，加桂枝 ③若咳者，去人參、大棗、生薑，加五味子、乾薑 ④若渴，去半夏，
加人參、栝蔞根
(A)僅①②③ (B)僅①③④ (C)僅②③④ (D)①②③④",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
14,"關於「少陰病，咳而下利，譫語者，被火氣劫故也。小便必難，以強責少陰汗也」之敘述，下列何者
正確？①「少陰病，咳而下利」若屬陰盛陽虛兼水氣者，當治以真武湯 ②「少陰病，咳而下利」
若屬陰虛有熱兼水氣者，當治以黃連阿膠湯 ③「強責少陰汗」是指誤用火法發汗 ④「譫語」是
因火熱傷津，胃中乾燥，上擾心神
(A)僅①③ (B)僅①③④ (C)僅②③④ (D)①②③④",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
15,"關於「傷寒六七日，大下後，寸脈沉而遲，手足厥逆，下部脈不至，喉咽不利，唾膿血，泄利不止
者」之敘述，下列何者錯誤？
(A)本文證屬「表熱裏寒、正虛陽鬱」之證
(B)「喉咽不利，唾膿血」屬上部肺熱之證候
(C)「寸脈沉而遲，下部脈不至」之病機為「陽陷於裏，鬱而不伸」
(D)宜以「麻黃升麻湯」發越陽鬱，清上溫下",A,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
16,"關於《傷寒論》「病人手足厥冷，脈乍緊者，邪結在胸中，心下滿而煩，飢不能食者」之敘述，
下列何者正確？①「手足厥冷，脈緊」是因寒邪收引凝束 ②「邪結在胸中」是指胸中陽氣被痰飲
或食積所遏 ③「心下滿而煩，飢不能食」是因寒邪內阻，脾失健運 ④治當溫陽健脾，則厥冷可
回，煩滿自除
(A)僅① (B)僅② (C)僅①③ (D)①③④",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
17,"一位40歲男性患者，主訴為乾嘔近1週，其它症狀有身體發熱，口乾咽乾，胸悶，脅下脹滿，心煩口
苦，納差，大便不暢等，舌紅苔白，脈弦數，治以下列何者最適宜？
(A)半夏瀉心湯 (B)黃芩加半夏生薑湯 (C)大柴胡湯 (D)小柴胡湯",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
18,"有關《金匱要略》嘔吐病的敘述，下列何者正確？①噦而腹滿，視其前後，知何部不利，利之即愈
②嘔吐而病在膈上，後思水者，解，急與之，思水者，豬苓湯主之 ③胃反，吐而渴欲飲水者，茯
苓澤瀉湯主之 ④嘔而脈弱，小便復利，身有微熱，見厥者難治，大半夏湯主之
(A)僅①② (B)僅①③ (C)①②③ (D)①③④",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
19,"根據《醫宗金鑑．金匱要略》有關「衄家不可汗，汗出必額上陷，脈緊急，直視不能眴，不得眠」
的解釋，下列何者錯誤？
(A)衄血吐血之家，陰已亡矣，若發其汗，汗出液竭，諸脈失養，則額角上陷中之脈為熱所灼，緊且
急也
(B)目直視，目瞪不轉睛也；不能眴，目睫不合也，亦為熱灼其脈，引縮使然也
(C)不得眠，腎水不能上濟心火也
(D)皆陽盛陰微之危證，故衄家慎不可汗也
代號：4106
頁次：8－3",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
20,"一位40歲男性患者，主訴下腹痛已2日，切診發現右少腹有劇烈壓痛點，其它症狀有腹脹，小便正
常，大便秘，舌紅苔黃，脈弦緊，在勸其轉急診被拒，患者堅持服用中藥治療的情形下，下列何方
最為適宜？
(A)大黃、厚朴、枳實 (B)附子、細辛、大黃
(C)附子、敗醬草、薏苡仁 (D)桃仁、瓜子、牡丹皮、芒硝、大黃",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
21,"一位65歲患者，平時喜食肥甘厚味，左側胸口悶痛，時發時止，已1年多，診斷為心絞痛，今因天
冷，左側胸口悶痛及發作時間皆加重，牽引到背部，喘息咳唾，短氣，舌淡胖，苔白膩，脈沉緊
遲，治以下列何者最適宜？
(A)栝蔞薤白半夏湯 (B)烏頭赤石脂丸 (C)附子湯 (D)四逆湯",A,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
22,"依《金匱要略》，下列何者為附子粳米湯的主治證候？①雷鳴切痛 ②胸脅逆滿 ③嘔吐 ④厥逆
(A)僅①② (B)僅③④ (C)①②③ (D)②③④",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
23,"依《金匱要略》，革脈可見於下列何病證？①半產 ②漏下 ③血痹 ④失精
(A)僅①② (B)僅②③ (C)僅③④ (D)①②④",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
24,"依《金匱要略》之敘述，下列何者正確？①陰陽毒的臨床表現有精神恍惚不定，以口苦，小便赤，
脈微數為其特徵 ②狐惑病臨床表現以目赤、咽喉及前後兩陰的蝕爛症狀為特徵 ③狐惑病以咽喉
部腐蝕為惑，前後二陰潰爛為狐 ④百合病以發斑、發熱、咽喉痛為主症
(A)①④ (B)②③ (C)①③ (D)②④",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
25,"依《金匱要略》，下列何者為竹葉湯的藥物組成之一？①桂枝 ②葛根 ③附子 ④防風
(A)僅①②③ (B)僅①②④ (C)僅②③④ (D)①②③④",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
26,"依《金匱要略》，傷寒八九日，風濕相搏，身體疼煩，不能自轉側，不嘔不渴，脈浮虛而澀者，治
以下列何者最適宜？
(A)桂枝、甘草、白朮、附子 (B)甘草、桂枝、生薑、附子、大棗
(C)白芍、桂枝、生薑、甘草、大棗、附子 (D)白朮、甘草、生薑、大棗、附子",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
27,"依《金匱要略》，下列何者為茯苓澤瀉湯的藥物組成之一？①桂枝 ②白朮 ③生薑 ④甘草
(A)僅①② (B)僅③④ (C)僅①②④ (D)①②③④",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
28,"依《金匱要略》，「肺癰胸滿脹，一身面目浮腫，鼻塞清涕出，不聞香臭酸辛，咳逆上氣，喘鳴迫
塞」，治以下列何者最適宜？
(A)辛夷散 (B)葶藶大棗瀉肺湯 (C)小青龍湯 (D)桔梗湯",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
29,"關於「三焦辨證」之敘述，下列何者錯誤？
(A)邪在上焦，初起時病位在肺，主要病機為衛氣鬱阻及肺氣不宣
(B)邪傳中焦陽明時，可為無形熱盛蒸騰於外，或有形熱結腑氣不通於內
(C)王孟英認為三焦病變不一定始於上焦，如濕溫疫毒、暑邪挾濕者，均起於中焦者多
(D)邪入下焦與衛氣營血辨證之邪在營血分相近",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
30,"溫病瘥後如僅胃腸津液未復，口乾咽燥或唇裂、便結，則下列何方劑最適宜？
(A)薛氏參麥湯 (B)薛氏五葉蘆根湯 (C)益胃湯 (D)集靈膏",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
31,"關於「溫病特點」之敘述，下列何者錯誤？
(A)特異致病因素「溫邪」可兼風、暑、濕、燥等外感病邪性質
(B)《素問．刺法論》提出「邪之所著，有天受，有傳染」說明溫病的流行特徵
(C)發展趨勢多是由表入裏、由淺入深、由輕到重、由實到虛
(D)病理主要表現為人體衛氣營血及三焦所屬臟腑的功能失調及實質損害
代號：4106
頁次：8－4",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
32,"牛黃承氣湯乃安宮牛黃丸調大黃末。本方大黃的炮製，下列何者正確？
(A)生用 (B)酒洗 (C)醋炒 (D)煨用",A,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
33,"楊先生34歲，95年7月1日因高燒不退、意識不清及大發作型痙攣，經急診入院，腦脊髓液檢查：
日本腦炎病毒感染。住院期間曾併發呼吸衰竭，神經性肺水腫，急性心臟休克，敗血性休克，因肢
體功能障礙，持續發熱月餘不退，而轉院接受中西醫結合治療，現已居家護理，但遺留終生殘障。
本患者會診時發熱，體溫攝氏38度，唇紅乾裂，痰多，頸項強硬，大便不通，Barbinski’s sign(+)，
依辨病與辨證結合治療，下列處方何者最適宜？
(A)清宮湯送服紫雪丹 (B)青蒿甲湯送服安宮牛黃丸
(C)調胃承氣湯送服至寶丹 (D)白虎湯送服安宮牛黃丸",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
34,"楊先生34歲，95年7月1日因高燒不退、意識不清及大發作型痙攣，經急診入院，腦脊髓液檢查：
日本腦炎病毒感染。住院期間曾併發呼吸衰竭，神經性肺水腫，急性心臟休克，敗血性休克，因肢
體功能障礙，持續發熱月餘不退，而轉院接受中西醫結合治療，現已居家護理，但遺留終生殘障。
本患者會診時發熱，體溫攝氏38度，唇紅乾裂，痰多，頸項強硬，大便不通，Barbinski’s sign(+)，
本病例住院期間所發生的併發證，依中醫辨證診斷，下列何者正確？
(A)閉證 (B)脫證 (C)內閉外脫 (D)外閉內脫",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
35,"春溫身灼熱，昏憒不語，痰壅氣粗，舌蹇肢厥，脈滑數，則選用何方為宜？
(A)犀角地黃湯 (B)清宮湯送服安宮牛黃丸
(C)參附湯送服至寶丹 (D)加減玉女煎",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
36,"溫疫見發熱惡寒、無汗或少汗、頭項強痛、肢體酸痛、腹中便結，或見目眩耳聾、皮膚斑疹瘡瘍，
唇乾或焦，苔黃燥，脈弦滑而數，辨證下列何者正確？
(A)表寒裏熱 (B)表裏俱熱 (C)邪遏膜原 (D)邪傳陽明",A,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
37,"葉天士說：「夏暑發自陽明」意指為何？
(A)暑為火熱之邪，傳變迅速
(B)長夏濕令，暑必兼濕
(C)暑溫初起即見壯熱、口渴引飲、汗多的病候特點
(D)暑性酷烈，極易損傷陽氣",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
38,"王老師暑假帶同學登山露營，乘涼過久，發病有頭痛、惡寒、發熱、無汗、胸悶脘痞等證，治宜下
列何方？
(A)三仁湯 (B)香薷飲 (C)桂枝湯 (D)麻黃湯",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
39,"關於秋燥「肺燥腸閉」與「腑實陰傷」證治及鑑別之敘述，下列何者錯誤？
(A)就病機而言前者為肺有燥熱，液虧腸閉，後者為燥熱結滯，腑實津傷
(B)前者咳嗽不爽而多痰，後者則無咳嗽多痰之症
(C)前者宜肅肺化痰，潤腸通便，後者則宜滋陰通下
(D)前者宜用五仁橘皮湯，後者宜用調胃承氣湯",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
40,"關於伏暑「熱閉心包，血絡瘀滯」之證治，其主證候除「神昏譫語，漱水不欲嚥」外，還有下列何
者？
(A)身熱不揚，舌絳少苔，望之若乾，捫之尚潤，或紫晦而潤
(B)身熱不揚，舌絳無苔，捫之乾燥，或紫晦而乾
(C)發熱夜甚，舌絳無苔，望之若乾，捫之尚潤，或紫晦而潤
(D)發熱夜甚，舌絳無苔，捫之乾燥，或紫晦而乾",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
41,"關於伏暑「熱閉心包，血絡瘀滯」之證治，宜以下列何方治之？
(A)牛黃承氣湯 (B)犀角地黃湯 (C)犀地清絡飲 (D)清宮湯送服紫雪丹
代號：4106
頁次：8－5",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
42,"王先生到大陸成都旅遊，旅程途中不小心感冒，就診時自訴身體一陣寒一陣熱，而且身寒的情況特
別明顯難過，有時還會流汗，身體疼痛四肢覺得重重的，不想動，肚子脹滿不舒服，想吐，舌苔白
厚膩濁，脈緩，綜合臨床表徵，其病證最適宜的診斷為何？
(A)外感寒濕在表 (B)濕溫邪阻膜原 (C)濕溫濕困中焦 (D)傷寒少陽病",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
43,"王先生到大陸成都旅遊，旅程途中不小心感冒，就診時自訴身體一陣寒一陣熱，而且身寒的情況特
別明顯難過，有時還會流汗，身體疼痛四肢覺得重重的，不想動，肚子脹滿不舒服，想吐，舌苔白
厚膩濁，脈緩，綜合臨床表徵，以下列何方治療最適宜？
(A)《霍亂論》王氏連朴飲 (B)《溫熱經緯》甘露消毒丹
(C)《時病論》雷氏宣透膜原法 (D)《溫病全書》菖蒲鬱金湯",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
44,"關於「秋燥邪在肺衛」證治之敘述，下列何者正確？
(A)發熱，惡寒，頭痛，少汗等，為燥邪襲肺之見證
(B)咳嗽痰少，咽乾，鼻燥，口渴等，為燥熱犯衛所致
(C)本證若感燥邪不甚，其證情較輕淺者，可用桑菊飲輕透肺衛之邪
(D)本證屬外感燥邪，性近於熱，治法同於風熱外感",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
45,"一位45歲男性，體胖，平時血壓偏高，某日突然跌仆，不省人事，小溲自遺，喉中痰聲漉漉，汗多，
脈伏，身熱肢冷，下列診斷何者最適宜？
(A)此為陽閉 (B)此為陰閉
(C)此為正氣虧虛，痰瘀阻絡 (D)此為脫證",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
46,"一位45歲男性，體胖，平時血壓偏高，某日突然跌仆，不省人事，小溲自遺，喉中痰聲漉漉，汗多，
脈伏，身熱肢冷，以何方治療最適宜？
(A)至寶丹加羚羊角湯 (B)蘇合香丸加滌痰湯
(C)參附湯加竹瀝、薑汁 (D)地黃飲子加減",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
47,"關於「鼓脹」證治之敘述，下列何者錯誤？
(A)若證屬寒濕困脾而見痰濕蒙閉心包時，可先用安宮牛黃丸芳香開竅後再依法調治
(B)如水脹滿太甚，脈弦數有力，體質尚好，可任攻逐者，可暫用舟車丸攻逐水氣，水氣退後再依法
調治
(C)服舟車丸常有不同程度的泛噁、嘔吐、腹痛、頭暈等反應，且水瀉後常覺異常疲乏
(D)《沈氏尊生書》以「先令卻鹽味，厚衣衾，斷妄想，禁忿怒」說明本病須注意精神及生活之調攝",A,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
48,"有關心痛性質的敘述，下列何者正確？
(A)陰天胸口容易悶痛，涎多苔膩，脈滑者，多屬氣滯
(B)心陰不足，虛火內熾，脈細者，多見悶痛
(C)刺痛伴隨舌色紫暗、瘀斑，脈澀者，痛處不固定
(D)絞痛若遇寒則發，得冷則劇，脈遲者，多屬寒凝心脈",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
49,"馬老師講述「脅痛」時，要同學討論病因病機及所造成脅痛之特點，下列何者錯誤？
(A)脾失健運致痰濕中阻，氣鬱化熱，肝膽失其疏泄，常導致脅部隱隱作痛
(B)脅痛和腎相關者，多屬虛證之痛
(C)脅痛辨證以氣血為主，屬氣鬱者多脹痛，且痛處不定
(D)強力負重，脅絡受傷者，多痛如針刺，發有定處
代號：4106
頁次：8－6",A,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
50,"一位54歲男性患者，由放射腫瘤科轉介中醫內科門診，其鼻咽癌放射治療後右頸皮膚乾焦，患者口
燥咽乾，無唾液，吞嚥不適，時作乾嘔，似飢而不欲食，脈細數，舌紅少津，臨床辨證此嘔屬下列何
證型？
(A)肺陰不足 (B)脾胃氣虛 (C)胃陰不足 (D)胃火上衝",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
51,"一位54歲男性患者，由放射腫瘤科轉介中醫內科門診，其鼻咽癌放射治療後右頸皮膚乾焦，患者口
燥咽乾，無唾液，吞嚥不適，時作乾嘔，似飢而不欲食，脈細數，舌紅少津，臨床處方，以下列何者最適宜？
(A)麥門冬湯 (B)四君子湯 (C)橘皮竹茹湯 (D)清胃散",A,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
52,"一位24歲男性失戀後，變得性情急躁，罵詈不避親疏，毀物傷人，大便秘結，舌絳苔黃，脈弦大滑
數，其治療以下列何者最適宜？
(A)天王補心丹 (B)甘麥大棗湯 (C)安神定志丸 (D)生鐵落飲",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
53,"李先生為糖尿病患者，就診時症見消穀善飢，口渴溲數，形體消瘦，便秘，舌苔黃燥，脈滑實有力，
下列何者是最有可能的病機？
(A)燥熱傷肺 (B)胃火消中 (C)腎虛火亢 (D)陰虛及陽",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
54,"一位35歲男性導遊二天前突然聲音不出，咽喉哽塞不通，自覺平素壓力較大，心煩易怒，舌苔薄，脈
弦，則該病之證型以下列何者最適宜？
(A)風塞鬱閉 (B)風熱上壅 (C)肺燥津傷 (D)氣鬱",D,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
55,"一位35歲男性導遊二天前突然聲音不出，咽喉哽塞不通，自覺平素壓力較大，心煩易怒，舌苔薄，脈
弦，治療主方選用下列何者最適宜？
(A)百合固金湯 (B)清燥救肺湯 (C)柴胡疏肝湯 (D)清咽寧肺湯",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
56,"關於痹證的敘述，下列何者錯誤？
(A)熱痹用白虎加桂枝湯
(B)某患者右膝關節灼熱紅腫、發熱、口渴、舌紅苔黃燥、脈滑數，當用薏苡仁湯，不可用溫燥藥
(C)濕熱痹證用宣痹湯清熱利濕通絡
(D)三妙散、當歸拈痛湯均是治療濕熱痹的方劑",B,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
57,"喬先生患肝硬化腹水已數年，自述近二年來於某中醫醫院以「附子理中湯」為主方加減，調理後症
狀大致穩定。試問下列何者是喬先生開始以附子理中湯調理時最可能見到的證候？
(A)脘腹撐急，捫之灼手，渴不欲飲，大便溏垢，苔白膩，脈弦乏力
(B)脘腹痞脹，得熱稍緩，神困，怯寒懶動，溺少便溏，苔白膩，脈弦
(C)腹脹不舒，入暮尤甚，神倦怯寒，下肢浮腫，溲少面恍白，舌淡胖紫，脈沉弦無力
(D)腹脹不舒，心煩失眠，牙宣，舌光紅，脈細數弦",C,100-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
