num,question,answer,filename,
1,"「肺炎始發病時產生高熱、口乾、躁動，脈搏快而有力等症狀，若致病原過強且患者體虛，使身體
無法適應而出現中毒性休克時，患者會產生冷汗淋漓、四肢冰冷、面色蒼白、脈搏沉細弱、甚至血
壓下降等變化。」若以陰陽互動關係來解釋前述病理過程，則下列選項何者較適當？
(A)陰陽互根互用 (B)陰陽相互轉化 (C)陰陽消長平衡 (D)陰陽對立制約",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
2,"對於飲酒的生理，下列敘述何者錯誤？
(A)喝酒之後，常見小便獨先下 (B)酒者，為熟穀之液
(C)酒者，後穀而入，先穀而液出 (D)酒者，其氣悍以濁",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
3,"患者每次應酬飲酒後隔日便因急性「痛風」（Gout）發作而無法行走；此最常見痛風發作處，在中
醫解剖位置為下列何者？
(A)核骨 (B)然骨 (C)京骨 (D)骰骨",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
4,"一位 28 歲女性患者原本睡眠狀況良好，但因罹患乳癌接受化療近 10 個月後，開始出現入眠困難，
且至清晨4、5點即醒，白天時整個人覺得疲倦昏沈。關於患者的現況，下列相關敘述何者錯誤？
(A)肌膚也可能變得粗糙 (B)可出現細澀脈象
(C)可出現弦數脈象 (D)宜用當歸補血湯補血",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
5,"王小姐因生意失敗割腕自殺，通常會影響之經絡不包括下列何者？
(A)手太陽小腸經 (B)手太陰肺經 (C)手厥陰心包經 (D)手少陰心經",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
6,"下列何項非「伏邪」所感？
(A)春傷於風，邪氣留連，乃為洞泄 (B)夏傷於暑，秋為痎瘧
(C)秋傷於濕，上逆而咳，發為肺癰 (D)冬傷於寒，春必病溫",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
7,"臨床上若急性發熱患者出現口渴口苦與肌腱韌帶易急攣，也會有感覺異常的症狀，在病因與病機的
表現中，下列何者正確？
(A)五臟會因為心氣熱，而產生下肢無力
(B)出現肝氣熱與脾氣熱的問題
(C)出現心氣熱與肝氣熱的問題
(D)患者有勞倦與久行，同時又遇大熱，所以關節無法活動靈活",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
8,"中醫史上最早的醫案，是由下列何者所作？
(A)扁鵲 (B)公乘陽慶 (C)公孫光 (D)淳于意
代號：2106
頁次：8－2",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
9,"《大醫習業》詳述醫德規範的文章收錄著作，下列何者正確？
(A)《千金要方》 (B)《抱朴子》 (C)《外臺秘要》 (D)《諸病源候論》",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
10,"有關金元四大家之敘述，下列何者正確？
(A)劉河間，重脾胃，而始發明治內傷之法；河間之論，即《內經》飲食勞倦之義
(B)李東垣，對於傷寒、癰疽、眼目病尤其擅長，撰有《醫學發明》、《內外傷辨惑論》等
(C)李東垣，主清火，而始發明治溫暑之法；東垣之說，即五運六氣之旨
(D)朱丹溪，主攻邪，論吐汗下三法。攻邪以去其毒，而後進以和胃養血等劑以善後",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
11,"清代考據風氣盛行，醫籍之考證作品與作者之配對，下列何者錯誤？
(A)汪昂－《素問靈樞類纂約注》 (B)徐大椿－《難經經釋》
(C)魏荔彤－《金匱要略方論本義》 (D)徐大椿－《傷寒來蘇集》",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
12,"下列何書是針灸著作？
(A)《醫林改錯》 (B)《神應經》 (C)《格致餘論》 (D)《活法機要》",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
13,"有關清末民初中醫學受打壓及爭取生存空間的史實，下列何者錯誤？
(A)1900年前後已出現否定五行說的思潮，梁啟超更在1923年5月為文辟之
(B)民國元年及民國二年的醫藥教育法規，皆漏列中醫中藥教育
(C)1929年2月，南京政府衛生部召開第一屆中央衛生委員會議，討論了有關廢止中醫藥的四項提案
(D)1930年3月17日，全國代表在上海召開全國醫藥團體代表大會，要求政府立即取消四項提案，
此乃國醫節之由來",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
14,"50歲楊先生患有肺結核病史。咳嗽少痰夾血絲10年，兼有口燥咽乾，午後低熱，手足心熱，盜汗等
症狀。斷續服用抗肺結核藥物效果不佳，近 1 月出現腹脹，飲食不佳，腹瀉一日多行質稀，怕冷，手
足肢冷，倦怠，口乾不欲飲，舌紅乾苔薄白邊齒痕，脈沉細數無力。則下列何者不屬於楊先生前後
病症的陰陽變化？
(A)陰虛則熱 (B)陰損及陽 (C)陰勝則陽病 (D)陰陽偏衰",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
15,"下列何醫者是中西醫匯通的代表醫家？
(A)合信 (B)艾儒略 (C)王清任 (D)張錫純",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
16,"「范進中舉」故事中的精神療法，主要是利用情志之間五行的何種作用，以調解異常的情志變化？
(A)相侮 (B)相生 (C)相克 (D)相乘",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
17,"據《靈樞．本神篇》論述，意之所存，謂之：
(A)志 (B)思 (C)慮 (D)智",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
18,"據《難經》所言，中醫所謂的魄門，下列何者正確？
(A)咽 (B)喉 (C)肛門 (D)太倉下口",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
19,"若患者自覺口中酸味，甚者旁人聞之有酸氣，下列何項病機最有可能？
(A)肝熱 (B)脾熱 (C)胃熱 (D)肺熱",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
20,"下列那一症狀臨診時會讓妳/你比較不會想到腎系統之病症？
(A)五更泄瀉 (B)囟門不合 (C)哮喘 (D)瘰癧",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
